Image,Template,Preview Image,QRCode Detection,QRcode Decoding,Result1,Result2,Result3,Result4,Result5,Expected Brand,Real Brand,Expected xoffset in mm,Expected yoffset in mm,Top offset in inches,Right offset in inches,Bottom offset in inches,Left offset in inches,Expected print width in mm,Expected print height in mm,Real print width in mm,Real print height in mm,Expected Garment Color,Standart RGB value,Real Garment Color (RGB),Expected Garment Size,Real Garment Size (Unisex),Real Garment Length (inches),Real Garment Width (inches),Design Rotation,Collar Front,Garment Color (score),Design Match (score),Color Match (score),Screenshot
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,https://images-backend.threadless.com/~/tPRCq.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,2872D57_32901296__017_021_004_F18_B_2__134779_118_120,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.jpg,Next Level Apparel,Next Level Apparel(from QRcode),167.8786,30,2.43,4.588,16.32,10.484,88.9,88.73,89.61,91.54,Purple Rush,"97,73,126","70,61,109",XL (Ladies) (Unisex),M,27.685,18.812,-0.72,TRUE,0.99,0.65,0.65,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D57_32901296__017_021_004_F18_B_2__134779_118_120.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,https://snowdam.s3.us-east-2.amazonaws.com/SBSP-emp-staff-Viacom-Spongebob-ALStyle1701-LeftChest-ForRedgarment.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,2872D31_32901296__003_017_004_C7_D_1__134779_58_61,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.jpg,Next Level Apparel,Next Level Apparel(from QRcode),259.8212,38.2127,2.02,4.419,21.681,13.757,97.11,86.11,97.05,84.16,Red,"171,11,31","154,0,19",XL (Mens) (Unisex),XXL,31.584,22.225,-0.3,TRUE,1,0.89,0.85,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D31_32901296__003_017_004_C7_D_1__134779_58_61.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,"https://res.cloudinary.com/teepublic/image/private/s--cCHuG_jH--/t_Trim/c_scale,h_2100,w_1519/c_lpad,g_north_west,h_2100,w_1571,x_25,y_0/c_lpad,g_north,h_2100,w_1575/dn_150,e_saturation:25,f_png,q_90/v1712331913/production/designs/59087265_0.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,2872DE6_32901296__145_083_004_D3_B_3__134779_47_48,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.jpg,Lat Apparel,Lat Apparel(from QRcode),22.7221,15,1.047,5.808,6.997,5.585,252.33,349.03,247.21,340.18,Pink,"237,213,232","202,164,185",XL (Ladies) (Unisex),L,29.158,21.713,2.24,TRUE,0.75,0.88,0.62,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DE6_32901296__145_083_004_D3_B_3__134779_47_48.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,https://images-backend.threadless.com/~/tKAvd.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,2872D4D_32901296__013_082_003_G8_D_1__134779_142_144,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.jpg,Delta,Delta(from QRcode),261.0489,64.6287,3.644,3.832,20.201,13.303,94.66,29.29,91.66,36.52,Heather Oatmeal,"206,203,196","209,201,197",L (Unisex) (Unisex),L,29.97,20.971,25.25,TRUE,1,0.87,0.86,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D4D_32901296__013_082_003_G8_D_1__134779_142_144.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,https://asset-service.out.customink.com/assets/PO72790838-front_monster.png?name=PO72790838-front_monster.png&category=production_ready_artwork&order_id=72790838,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,2872DDF_32901296__142_004_002_G15_D_4__134779_167_167,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.jpg,Gildan,DAN(from carelabel),155.279,15,1.172,5.324,18.066,8.866,88.82,34.21,88.72,35.82,Black,"35,30,30","24,31,33",M (Youth) (Unisex),S,24.306,17.897,-0.64,TRUE,1,0.88,0.64,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DDF_32901296__142_004_002_G15_D_4__134779_167_167.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,https://images.printify.com/print/650bb9f5643680535602cb47/18152/front/97359bde10cf85a2df0331b05868623d.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,2872D68_32901296__022_088_005_C17_A_2__134779_74_87,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.jpg,Bella Canvas,Bella Canvas(from QRcode),33.4007,36.096,1.826,6.098,8.13,5.724,329.18,425.54,318.26,406.26,Dark Heather Grey,"56,56,56","42,51,46",2X (Unisex) (Unisex),XXXL,32.081,25.117,3.1,TRUE,0.86,0.91,0.83,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D68_32901296__022_088_005_C17_A_2__134779_74_87.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,"https://res.cloudinary.com/teepublic/image/private/s--BR7Q1NGM--/t_Trim/c_scale,h_2159,w_1800/c_lpad,g_north_west,h_2159,w_1800,x_0,y_0/c_lpad,g_north,h_2159,w_1800/dn_150,e_saturation:25,f_png,q_90/v1694252511/production/designs/50372978_0.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,2872DAC_32901296__066_088_003_G6_A_1__134779_129_144,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.jpg,Next Level Apparel,LEVEL(from carelabel),45.7068,30,1.282,3.989,9.198,4.38,304.66,365.45,281.97,358.56,Dark Heather Grey,"157,157,157","126,129,132",L (Mens) (Unisex),L,29.789,20.144,4.94,TRUE,0.88,0.8,0.71,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DAC_32901296__066_088_003_G6_A_1__134779_129_144.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,"https://res.cloudinary.com/teepublic/image/private/s--brWXwkAB--/t_Trim/c_scale,h_685,w_636/c_lpad,g_north_west,h_798,w_1200,x_289,y_113/c_lpad,g_north,h_798,w_1200/dn_150,e_saturation:25,f_png,q_90/v1701127799/production/designs/10718832_1.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,2872DA6_32901296__063_004_002_B5_E_1__134779_10_20,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.jpg,LAT Apparel,LAT Apparel(from QRcode),76.0683,34.1363,2.778,5.98,12.762,6.615,107.54,115.83,107.24,111.3,Black,"30,25,29","19,26,26",M (Youth) (Unisex),S,23.675,17.07,1.23,TRUE,0.98,0.86,0.82,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DA6_32901296__063_004_002_B5_E_1__134779_10_20.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,"https://res.cloudinary.com/teepublic/image/private/s--rXR6tIGr--/t_Trim/c_scale,h_2117,w_2100/c_lpad,g_north_west,h_2117,w_2100,x_0,y_0/c_lpad,g_north,h_2117,w_2100/dn_150,e_saturation:25,f_png,q_90/v1599774385/production/designs/13902696_0.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,2872D91_32901296__051_004_005_F18_C_2__134779_119_120,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.jpg,Hanes,Hanes(from QRcode),20.3893,30,1.957,5.298,12.696,5.859,355.29,358.17,343.99,338.39,Black,"26,26,26","33,36,35",2X (Mens) (Unisex),XXXXL,33.445,25.53,0.81,TRUE,0.85,0.9,0.86,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D91_32901296__051_004_005_F18_C_2__134779_119_120.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,https://rj-mod-monster.s3.amazonaws.com/Art/ZB/ZBTSC2158_AS.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,2872DAF_32901296__069_008_008_C9_F_5__134779_61_61,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.jpg,Sanmar,Sanmar(from QRcode),20.362,30,1.63,10.523,18.624,10.081,355.43,416.81,228.84,236.92,Athletic Heather,"109,109,109","141,144,147",5X (Mens) (Unisex),XXXXXL,35.269,30.176,0.84,TRUE,0.97,0.9,0.73,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DAF_32901296__069_008_008_C9_F_5__134779_61_61.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,https://uploads.documents.cimpress.io/v1/uploads/1588ea80-d088-4769-93c8-925989469b5d~100?tenant=prepress-uploads,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,2872DD1_32901296__117_009_002_C10_F_5__134779_72_72,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.jpg,Bella Canvas,AS(from carelabel),21.1664,106.4395,4.713,4.033,10.38,4.186,255.52,257.73,247.65,252.82,Navy,"21,38,68","36,47,64",M (Unisex) (Unisex),L,29.44,18.573,2.44,TRUE,0.98,0.89,0.83,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DD1_32901296__117_009_002_C10_F_5__134779_72_72.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,https://images-backend.threadless.com/~/vaV1K.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,2872D26_32901296__002_004_001_C16_A_2__134779_73_87,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.jpg,Gildan,GILDAN'(from carelabel),212.8372,39.384,2.366,3.048,19.644,11.28,72.98,54.36,65.48,51.36,Black,"35,35,35","25,35,33",S (Mens) (Unisex),M,28.044,17.053,0.5,TRUE,1,0.91,0.83,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D26_32901296__002_004_001_C16_A_2__134779_73_87.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,https://asset-service.out.customink.com/assets/PO71197998-front_youth_monster.png?name=PO71197998-front_youth_monster.png&category=production_ready_artwork&order_id=71197998,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,2872DE3_32901296__144_009_003_B9_B_5__134779_14_20,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.jpg,Hanes,Hanes(from QRcode),28.6171,5,0.987,3.335,7.949,4.185,240.62,349.08,234.98,326.64,Navy,"36,53,73","32,45,57",L (Youth) (Unisex),S,25.933,17.335,2.72,TRUE,0.85,0.79,0.77,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DE3_32901296__144_009_003_B9_B_5__134779_14_20.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,"https://res.cloudinary.com/teepublic/image/private/s--UQz-sCLC--/t_Trim/c_scale,h_1735,w_1368/c_lpad,g_north_west,h_1856,w_1800,x_216,y_121/c_lpad,g_north,h_1856,w_1800/dn_150,e_saturation:25,f_png,q_90/v1691439482/production/designs/48928196_0.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,2872D66_32901296__022_088_003_C3_A_2__134779_40_48,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.jpg,Bella Canvas,Bella Canvas(from QRcode),82.286,50.4911,2.395,6.223,10.922,5.556,231.5,293.65,231.31,290.13,Dark Heather Grey,"48,46,52","50,56,56",L (Unisex) (Unisex),XL,30.288,21.448,0.84,TRUE,0.92,0.85,0.74,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D66_32901296__022_088_003_C3_A_2__134779_40_48.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,https://images.printify.com/print/661379d51d35f86eac0c6027/18149/front/e1a861b9e7026970e2be7c0261507877.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,2872D65_32901296__022_088_002_D17_A_1__134779_75_87,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.jpg,Bella Canvas,Bella Canvas(from QRcode),9.6941,15.084,1.055,4.175,9.986,3.89,278.38,349,271.33,330.14,Dark Heather Grey,"56,56,56","42,59,55",M (Unisex) (Unisex),L,29.457,19.416,2.51,TRUE,0.85,0.89,0.87,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D65_32901296__022_088_002_D17_A_1__134779_75_87.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,https://images-backend.threadless.com/~/uZV5B.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,2872D2B_32901296__002_004_006_F10_A_1__134779_108_113,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.jpg,Gildan,Gildan(from QRcode),271.5052,30.508,2.118,7.899,22.765,16.936,73.74,100.25,62.33,88.38,Black,"35,35,35","21,34,27",3X (Mens) (Unisex),XXXL,32.63,27.447,-0.4,TRUE,1,0.84,0.73,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D2B_32901296__002_004_006_F10_A_1__134779_108_113.png
